prime,TARGET,relation1_f-t,relation2_f-t,FAS_f-t,BAS_f-t,f_CUEfanout,TARGETfanin,rank,LSA_f-t,BEAGLE_RPs,BEAGLE_PMI,BEAGLE cosine,BEAGLE WIKI NIN,BEAGLE WIKI Cosine,LSA
haunt,house,fpa,NA,0.018,0,8,185,4,0.27,0.143450836,0.676583296,0.224086837,84,0.373763569,0.278430642
arms,hug,functional property,NA,0.021,1.10E-02,11,13,7,0.32,0.085683227,0.434637677,0.161561089,6559,0.316746199,0.404977551
hawaii,hula,script,NA,0.033,0.128,18,2,9,0.38,0.007966673,7.021860456,0.013467442,NA,0.346696358,0.418386112
race,human,bpa,NA,0.022,0,17,18,8,0.21,0.095559004,0.156786226,0.328049968,585,0.074841575,0.129996709
percentage,hundred,unclassified,NA,0.027,0,19,3,9,0,0.034069503,0.043652971,0.181479079,3835,0.311762328,0.094591918
crave,hunger,synonym,NA,0.114,0,11,9,3,0.06,0.088897353,1.653375366,0.027604035,NA,NA,0.560291477
sandwich,hungry,unclassified,NA,0.037,0,18,25,8,0.54,0.091945695,1.734472998,0.362081472,12,0.406928852,0.518061683
predator,hunter,synonym,NA,0.085,Â¥,20,5,4,0.28,0.090946373,0.501428265,0.112277575,1353,0.361919324,0.432598838
earthquake,hurricane,category,NA,0.028,0,18,11,8,0.31,0.263068336,0.994873557,0.227503154,770,0.286975944,0.560080171
quick,hurry,unclassified,NA,0.011,6.70E-02,10,16,9,0.62,0.260783152,0.559278053,0.338165948,859,0.599944539,0.518134545
lash,hurt,unclassified,NA,0.029,0,14,137,7,0.16,0.087726558,0.443674357,0.085858478,5487,0.411289849,0.714792077
loyalty,husband,perceptual property,NA,0.02,0,14,14,10,-0.01,0.051739872,0.043547976,0.175047026,4503,-0.009911774,0.150612903
pendulum,hypnotize,functional property,NA,0.046,0,11,2,5,NA,0.012011633,0.980299893,NA,NA,0.142373936,0.26608443
blender,ice,bpa,NA,0.02,0,17,80,9,0.18,0.011540814,0.54959964,NA,NA,0.251873681,0.142391746
identity,id,unclassified,NA,0.039,Â¥,17,3,6,0.36,0.067972265,0.40012035,0.186597362,3417,0.32350909,0.405450132
scheme,idea,unclassified,NA,0.014,0,15,46,9,0.19,0.158436549,0.106032857,0.257681242,676,0.665263515,0.254480529
jerk,idiot,unclassified,NA,0.079,2.70E-02,22,10,2,0.29,0.041972913,3.729487817,0.047664798,NA,0.440466497,0.745209006
respond,ignore,antonym,NA,0.033,0,18,12,3,0.39,0.187528354,0.327910766,0.383278002,232,0.713538775,0.556481332
remedy,ill,unclassified,NA,0.021,0,10,17,7,0.08,0.060114528,0.472695374,0.142470335,2064,0.431885488,0.364051688
drugs,illegal,bpa,NA,0.028,0.273,28,14,9,0.65,0.155133977,2.275597097,0.387605374,76,0.623599326,0.446185059
juvenile,immature,synonym,NA,0.02,0,12,5,6,0.14,0.044563431,2.464381162,0.053141975,NA,0.504318422,0.795585294
income,important,unclassified,NA,0.013,0,9,41,7,0.1,0.046824813,0.016103309,0.285959345,539,0.076668432,0.125231113
drive,in,fpa,NA,0.034,0,14,32,5,0.32,0.220794044,0.06251519,NA,NA,NA,0.363908939
multiply,increase,synonym,NA,0.041,0,11,10,7,0.23,0.310036585,0.178076303,0.343819819,15,0.423233812,0.328448212
depend,independent,unclassified,NA,0.066,0,18,6,4,0.24,0.03634872,0.081906399,0.344258275,827,0.475099892,0.284960675
brave,indian,perceptual property,NA,0.116,0,15,32,3,0.27,0.187243649,1.008468647,0.369572653,152,0.505573415,0.15429369
inside,indoors,synonym,NA,0.013,0.115,8,2,5,0.31,0.154642075,0.322912404,0.317924937,2120,0.474695316,0.512559308
interior,inferior,unclassifed,NA,0.013,0,11,2,9,0.14,0.056569248,0.05856229,0.152269883,5603,0.353672501,0.213542617
intake,inhale,unclassified,NA,0.034,1.10E-02,20,4,10,0,0.058875797,0.454533471,0.245754562,263,0.284990446,0.389708737
naive,innocent,synonym,NA,0.108,4.30E-02,15,11,2,0.28,0.090181628,3.04120445,0.141263602,748,0.467434947,0.632833138
abnormal,insane,unclassified,NA,0.014,0,13,3,9,0.11,0.098409667,0.109960231,0.076796466,13460,0.29131018,0.111319419
horn,instrument,supraordinate,NA,0.027,0,15,34,9,0.28,0.062308926,1.419144842,0.190453057,2255,0.541715805,0.689364158
title,insurance,bpa,NA,0.013,0,10,12,10,0.08,0.049498445,0.127502934,0.221761587,917,0.241329518,0.0562192
wrinkle,iron,instrument,NA,0.061,3.50E-02,15,26,5,0.06,0.043198025,0.796761483,0.07183549,7318,0.238881319,0.231192888
unusual,irregular,synonym,NA,0.014,0.02,11,4,9,0.23,0.186751529,0.250406911,0.261408149,2960,0.586243576,0.505263635
obnoxious,irritating,synonym,NA,0.026,0,21,2,5,0.05,0,5.889253761,0.000182631,NA,0.384709729,0.709578386
inlet,island,unclassified,NA,0.074,0,13,30,3,0.16,0.113073175,1.507999265,0.21866447,212,0.615860245,0.50199329
fix,it,fpa,NA,0.014,Â¥,9,7,9,0.32,0.260021143,0.085417401,NA,NA,NA,0.26811526
sausage,italian,bpa,NA,0.033,5.90E-02,25,16,10,0.09,0.019912739,0.892924064,0.124621738,2048,0.352535208,0.107958414
wool,itch,perceptual property,NA,0.029,0,16,14,9,0.07,0.029171656,0,0.183296506,820,0.226027334,0.397712497
breakable,item,fpa,NA,0.014,0,10,12,8,0.02,0.163649698,1.917459749,-0.04602431,NA,0.299010601,0.422198912
sweater,jacket,category,NA,0.041,9.60E-02,14,23,9,0.56,0.313998413,9.215683865,0.520707667,4,0.616895671,0.906197602
suspect,jail,unclassified,NA,0.02,0,14,55,8,0.54,0.077706357,0.530804916,0.23129417,1079,0.503154479,0.56354176
doe,jane,bpa,NA,0.027,Â¥,8,5,4,0.15,0.055221405,0.19690168,0.144149427,543,0.541723419,0.317934775
fade,jeans,perceptual property,NA,0.063,0,23,24,3,0.22,0.111166721,0.2132361,0.044678615,NA,0.411374472,0.374250701
mint,jelly,fpa,NA,0.027,0,24,16,10,0.19,0.013172298,0.800942478,0.057718542,16853,0.295795377,0.764448909
faith,jesus,unclassified,NA,0.01,0,12,15,10,0.76,0.046904596,1.461829904,0.268586659,1445,0.638920091,0.87923018
christian,jewish,category,NA,0.038,3.30E-02,13,10,6,0.6,0.198042907,0.924645888,0.424533246,45,0.50283949,0.405157609
payment,job,unclassified,NA,0.028,0,13,74,6,0.1,0.130145168,0.155760222,0.328675015,263,0.467962339,0.130468484
swimmer,jogger,category,NA,0.027,Â¥,19,3,6,0.27,0,0,0.015413727,NA,NA,0.191722975
combine,join,synonym,NA,0.033,0,13,19,5,0.27,0.20240623,0.067963431,0.32190463,150,0.517974879,0.261439345
amuse,joke,functional property,NA,0.017,0,14,23,9,0.18,0.116014277,1.902552097,0.197432747,384,NA,0.690497151
adventure,journey,synonym,NA,0.045,1.40E-02,18,8,5,0.56,0.101796164,0.741414446,0.325421531,231,0.534998207,0.536814598
evaluate,judge,synonym,NA,0.083,1.40E-02,24,38,2,0.17,0.206463326,0.392847173,0.210547403,1226,0.338737321,0.113365368
beetle,juice,fpa,NA,0.152,0,4,27,2,0,0.033755677,0.542593779,0.093564176,8141,0.27140016,0.109971806
ski,jump,fpa,NA,0.027,0,13,34,7,0.25,0.151838935,4.130539353,0.147517081,309,0.32203196,0.242382399
ape,jungle,script,NA,0.021,0,10,21,6,0.24,0.070660928,1.892174466,0.182001014,1206,0.511468401,0.616887258
adolescent,juvenile,synonym,NA,0.014,1.30E-02,8,2,8,0.33,0.068492898,2.705783884,0.215417492,730,0.553981415,0.399770914
storage,keep,unclassified,NA,0.038,0,21,35,7,0.1,0.098969737,0.164817965,NA,NA,NA,0.282393118
shop,keeper,fpa,NA,0.01,0,14,5,10,0.17,0.091705311,0.273257463,0.197546987,5195,0.44316489,0.081671963
relish,ketchup,category,NA,0.02,0,13,7,10,0.15,0,30.79102134,0.00947975,NA,0.460281596,0.587649242
piano,key,fpa,NA,0.121,0,14,13,3,0.18,0.139505584,0.371211719,0.205355772,1056,0.226475142,0.088817285
capture,kidnap,unclassified,NA,0.046,0,24,4,5,0.12,0.118862958,0.1963871,0.087963683,18031,0.573087511,0.395130137
playing,kids,bpa,NA,0.034,0,19,24,7,0.32,0.195197812,0.165391558,0.422918246,57,0.531834263,0.283011263
revenge,kill,unclassified,NA,0.034,0,21,73,9,0.24,0.078857069,0.714708259,0.188342965,526,0.774965456,0.847704542
convict,killer,unclassified,NA,0.029,0,17,14,7,0.16,0.030023039,2.176456631,0.044227454,NA,0.373982879,0.521896387
brand,kind,unclassified,NA,0.032,0,16,36,5,0.18,0.198627253,0.075860981,0.198634027,461,0.595893388,0.224894122
chess,king,unclassified,NA,0.092,0,14,47,3,0.1,0.07103236,0.261161228,0.207075222,243,0.197029521,0.169423107
romance,kiss,unclassified,NA,0.021,0,9,23,6,0.13,0.033044925,0.759937216,0.099413469,7876,0.527344878,0.633555918
stove,kitchen,script,NA,0.018,5.60E-02,11,26,7,0.75,0.007368655,6.747324273,0.555839526,2,0.520241063,0.874689285
graceful,klutz,antonym,NA,0.033,Â¥,15,2,8,-0.03,0,0,-0.010046737,NA,NA,NA
bruise,knee,perceptual property,NA,0.026,0,20,13,8,0.26,0.050443716,2.870909024,0.157589878,285,0.289654714,0.571114211
dull,knife,fpa,NA,0.042,0,11,43,3,0.31,0.07665964,2.644650158,0.232930829,2620,0.441593266,0.428921548
sword,knight,perceptual property,NA,0.038,0.02,18,12,6,0.69,0.091871308,1.573676614,0.273791528,207,0.411656145,0.598248258
sew,knit,category,NA,0.039,0.284,21,5,6,0.25,0.125937896,7.755715639,0.142531168,2974,0.262662626,0.87806926
think,know,unclassified,NA,0.017,4.40E-02,22,39,10,0.7,0.576812737,0.108380816,NA,NA,NA,0.918017242
curiosity,knowledge,unclassified,NA,0.021,0,13,51,7,0.52,0.169641939,0.528951325,0.353730893,40,0.633114697,0.358403567
shoe,lace,fpa,NA,0.083,0,14,12,3,0.31,0.178876857,3.193029616,0.15694037,3887,0.238074535,0.78240399
rope,ladder,category,NA,0.022,0,21,10,10,0.39,0.15487144,4.109913974,0.314618774,227,0.468247645,0.758220593
fat,lady,fpa,NA,0.043,0,16,28,5,0.13,0.111243043,0.4620826,0.306472864,452,0.420093904,0.173866901
otter,lake,script,NA,0.02,0,14,32,9,0.13,0.054908868,6.711132127,0.194847009,366,0.647816327,0.442818889
ewe,lamb,synonym,NA,0.087,2.40E-02,11,9,3,0.53,0.060832251,25.61901956,0.286668156,4,0.323797231,0.489060681
geology,land,unclassified,NA,0.087,0,9,53,3,0.1,0.04253008,0.097323049,0.225454268,172,0.075775784,0.270369119
sign,language,fpa,NA,0.051,0,15,22,4,0.28,0.175411693,0.684559305,0.494908625,26,0.559752101,0.230285885
vocabulary,large,bpa,NA,0.02,0,15,54,9,0.09,0.092684041,0.129093261,0.260767831,975,0.366229552,0.10161012
final,last,synonym,NA,0.051,6.30E-02,8,16,4,0.42,0.261412835,0.199265171,NA,NA,NA,0.434869515
soon,late,unclassified,NA,0.034,0,14,21,4,0.5,0.259234488,0.068553351,0.580616854,116,0.649713029,0.431879804
immediate,later,antonym,NA,0.013,Â¥,11,9,9,0.33,0,0.051871599,NA,NA,NA,0.274362698
joker,laugh,unclassified,NA,0.087,0,11,42,4,0.3,0.084292303,16.00877193,0.121866123,1867,0.379365351,0.470890797
lawsuit,law,unclassified,NA,0.014,0,11,70,9,0.43,0.076114654,0.397140255,0.21055441,34,0.41812776,0.444513654
grass,lawn,script,NA,0.087,0.397,14,12,3,0.47,0.162309353,5.091228287,0.420910326,122,0.447449461,0.58894059
lawyer,lawsuit,unclassified,NA,0.02,0.299,13,3,8,0.67,0.060775522,0.932427938,0.179800724,3728,0.36772084,0.570632065
professional,lawyer,supraordinate,NA,0.036,1.40E-02,27,34,6,0.2,0.221077689,0.3080911,0.299712495,1209,0.633922765,0.104233787
brick,layer,fpa,NA,0.071,9.30E-02,14,3,5,0.1,0.069902044,0.40827389,0.203870415,2124,0.224532822,0.206429288
chief,leader,synonym,NA,0.164,2.10E-02,10,31,2,0.45,0.165871159,0.379240746,0.560701075,6,0.525904474,0.363064203
branch,leaf,category,NA,0.055,2.40E-02,11,22,4,0.27,0.264602891,0.306951159,0.255747029,1177,0.275004894,0.172676814
university,learn,unclassified,NA,0.047,0,14,39,3,0.12,0.084007565,0.131642609,0.26549136,750,0.308228137,0.145493616
boots,leather,perceptual property,NA,0.042,0,13,21,5,0.66,0.325478683,7.465755272,0.507849564,9,0.670443042,0.698257754
go,leave,synonym,NA,0.061,0.194,14,73,3,0.64,0.408395422,0.14736186,NA,NA,NA,0.68796844
bush,leaves,script,NA,0.024,0,15,9,10,0.44,0.112717349,0.054096981,0.375390482,69,0.255977617,0.155080488
cliff,ledge,unclassified,NA,0.042,0.193,12,5,7,0.69,0.318241158,7.279387592,0.470277682,11,0.560926011,0.659467587
margin,left,bpa,NA,0.033,0,17,9,7,0.3,0.10309532,0.108061629,0.362483639,15,0.403341816,0.232009883
hem,leg,unclassified,NA,0.012,0,11,40,10,0.26,0.061096375,0.337637856,0.120090919,1251,0.215234757,0.417277065
mythology,legend,synonym,NA,0.033,0,14,4,4,0.33,0.193530026,0.91678674,0.179115784,645,0.452638014,0.652113378
shorts,legs,unclassified,NA,0.048,0,16,37,4,0.31,0,0.598908818,0.238390286,171,0.321259216,0.378975892
sour,lemon,perceptual property,NA,0.088,0.16,13,10,4,0.7,0.057334466,11.32863566,0.130061237,577,0.543448427,0.833612486
owe,lend,unclassified,NA,0.014,1.40E-02,9,4,9,0.33,0.262561921,0.147639119,0.248760137,150,0.534566638,0.822444083
height,length,antonym,NA,0.03,3.50E-02,6,15,4,0.56,0.461083198,1.330502316,0.626954017,1,0.655812786,0.611561378
spine,less,fpa,NA,0.013,0,10,29,7,0.04,0.014002963,0.074083577,NA,NA,NA,0.30010458
fable,lesson,unclassified,NA,0.013,0,8,6,8,0.33,0.072323217,0.494197845,0.275810357,14,0.437124382,0.255673352
permit,let,synonym,NA,0.081,0,15,10,3,0.17,0.253937516,0.0657677,0.305909765,1038,0.37326779,0.201827844
word,letter,unclassifed,NA,0.067,0,20,47,3,0.22,0.336992305,0.589928636,0.404695019,145,0.47819437,0.465912616
scrambled,letters,unclassified,NA,0.033,0,9,10,3,0.02,0.053363531,0.203917386,0.061850172,14367,0.250245148,0.133885122
iceberg,lettuce,fpa,NA,0.148,0,16,12,2,0.13,0.071344757,41.77551509,0.078836602,8909,0.211004358,0.360574111
politician,liar,perceptual property,NA,0.089,0,17,19,2,0.07,0.042044801,0.082990809,0.076277578,15676,0.304466015,0.063186282
bell,liberty,bpa,NA,0.088,0.12,11,8,3,0.08,0.028087558,0.798086552,0.134553247,4840,0.449651497,0.354105156
stopper,lid,unclassified,NA,0.027,0,10,11,6,0.25,0.100196892,9.698098203,0.203001504,99,0.283145904,0.399001551
belief,lie,unclassified,NA,0.02,0,20,71,8,0.15,0.058822109,0.084147458,0.227412972,3528,0.361093009,0.45912109
enjoy,life,fpa,NA,0.028,0,14,107,9,0.35,0.256955006,0.180751058,NA,NA,NA,0.355530224
reflect,light,unclassified,NA,0.054,0,13,98,3,0.58,0.316015723,0.533477393,0.565310625,22,0.536061852,0.294582274
storm,lightning,script,NA,0.061,8.30E-02,12,11,5,0.69,0.147168368,1.370159346,0.289563898,955,0.292155037,0.676487086
fancy,like,synonym,NA,0.041,0,19,40,7,0.52,0.197821435,0.186524771,NA,NA,NA,0.544688166
shore,line,fpa,NA,0.027,0,9,68,6,0.12,0.231795034,0.251778258,0.343571837,397,0.239601929,0.216767255
cougar,lion,category,NA,0.087,0,11,33,3,0.29,0.095958131,4.49173841,0.170877366,126,0.331452897,0.381403736
record,listen,antonym,NA,0.021,0,14,29,8,0.19,0.137273327,0.259508095,0.272004831,1495,0.565871343,0.256010966
small,little,synonym,NA,0.081,0.385,9,46,5,0.41,0.564974024,0.121775254,NA,NA,NA,0.413281468
alive,live,synonym,NA,0.02,2.80E-02,14,21,7,0.36,0.088261233,0.29879463,0.4125063,37,0.578956966,0.440381764
burden,load,synonym,NA,0.087,0,17,13,2,0.14,0.361891546,0.276544406,0.207694282,1983,0.378715484,0.196061365
shrimp,lobster,category,NA,0.084,3.80E-02,15,5,5,0.48,0.24945752,26.07412352,0.096250414,5722,0.465829094,0.799120346
vault,lock,script,NA,0.036,0,13,23,6,0.31,0.174254296,0.565529021,0.327516479,21,0.30372566,0.206970544
wood,log,synonym,NA,0.03,0.279,26,14,6,0.51,0.247007238,0.529936913,0.400221688,148,0.170219682,0.249763377
poor,lonely,unclassified,NA,0.014,0,11,16,9,0.27,0.317107814,0.209631701,0.357009183,1237,0.417275763,0.366732068
hours,long,bpa,NA,0.041,0,15,93,4,0.39,0,0.215718581,NA,NA,NA,0.412462439
perceive,look,unclassified,NA,0.054,0,15,68,4,0.16,0.166370409,0.109735932,0.292754047,255,0.524560032,0.241181041
appeal,looks,unclassified,NA,0.034,0,16,10,7,0.12,0.117581504,0.086244848,0.201213545,3450,0.262557153,0.232195193
replace,loose,unclassified,NA,0.033,0,22,22,9,0.32,0.106185101,0.060594402,0.225616685,2261,0.615818947,0.453450663
forget,lose,unclassified,NA,0.095,1.40E-02,11,30,2,0.37,0.320603096,0.278366372,0.378845193,376,0.571384927,0.673208661
victor,loser,antonym,NA,0.068,0,12,16,3,0.14,0.011880673,1.116562944,0.034287819,NA,0.298212421,0.43826507
maze,lost,unclassified,NA,0.079,0,13,45,4,0.3,0.028065086,0.229315591,0.216961978,84,0.491777563,0.25985947
amount,lot,synonym,NA,0.04,0,15,38,6,0.11,0.071997263,0.119356559,0.387543057,477,0.586701348,0.404300785
ton,lots,unclassified,NA,0.026,0,13,16,8,0.1,0.027387667,0.036883732,0.162555419,604,0.142090624,0.30832429
microphone,loud,perceptual property,NA,0.158,0,18,83,2,0.35,0.064791865,1.847319168,0.336570965,4,0.552823174,0.567000127
valentine,love,unclassified,NA,0.218,0,11,181,2,0.35,0.093651032,0.596944513,0.146662575,716,0.498730314,0.633495279
gentle,loving,unclassified,NA,0.042,0,18,8,5,0.47,0.226066235,0.658261477,0.34729184,410,0.702641755,0.536954971
minimum,low,unclassified,NA,0.02,0,11,33,9,0.27,0.224090153,0.318970006,0.255564592,1408,0.511919495,0.447659028
rich,luck,unclassified,NA,0.02,0,7,13,5,0.24,0.043925723,0.209377253,0.184025067,6193,0.470106984,0.242617874
suitcase,luggage,synonym,NA,0.086,0.13,12,7,5,0.44,0.179247583,24.55725319,0.190163745,2009,0.473440997,0.616864477
picnic,lunch,fpa,NA,0.035,0,13,18,6,0.51,0.258872837,2.587326584,0.31212151,45,0.315720688,0.517846376
copy,machine,fpa,NA,0.061,0,13,39,5,0.3,0.207295779,0.213992477,0.392719091,24,0.42982697,0.299738845
insane,mad,synonym,NA,0.026,0,11,50,4,0.15,0.090646428,1.314535567,0.110637055,1986,0.519825028,0.808519428
newsstand,magazine,script,NA,0.136,0,7,29,3,0.36,0.022008554,5.247966413,0.213992013,77,0.551158518,0.813547095
spell,magic,bpa,NA,0.068,1.40E-02,21,19,4,0.46,0.257448918,1.988719682,0.454407455,3,0.609201367,0.43212778
apron,maid,unclassified,NA,0.034,0,14,13,7,0.33,0.238959352,2.077738589,0.160947977,2401,0.31567207,0.484252053
package,mail,supraordinate,NA,0.07,0,19,20,4,0.48,0.253135961,0.764572193,0.354898819,40,0.405615109,0.385960694
important,major,synonym,NA,0.028,7.10E-02,25,23,9,0.5,0.447053708,0.0875286,0.74808964,3,0.713254268,0.351138134
creation,make,unclassified,NA,0.068,0,18,64,4,0.25,0.10257455,0.075921477,NA,NA,NA,0.271296415
producer,maker,synonym,NA,0.095,0,13,8,3,0.2,0.037218011,0.292633153,0.154371707,2094,0.596321187,0.388187742
dominant,male,fpa,NA,0.054,0,20,20,6,0.31,0.081166322,0.152677866,0.233461001,2056,0.25834946,0.24981763
purchase,mall,unclassified,NA,0.013,0,12,12,9,0.12,0.016739614,0.206435427,0.082569396,13111,0.29223633,0.205732189
male,man,synonym,NA,0.131,0,5,171,2,0.05,0.139765347,0.068900424,NA,NA,NA,0.245031224
decency,manners,synonym,NA,0.031,0,28,12,6,0.26,0,4.141335498,0.129826332,1856,0.267746991,0.646805322
much,many,synonym,NA,0.123,5.50E-02,9,46,3,0.66,0.34461566,0.102656177,NA,NA,NA,0.676388155
almanac,map,category,NA,0.101,0,18,20,2,0.1,0.042509868,0.346960726,0.047229687,NA,0.299227456,0.307507449
channel,marker,unclassified,NA,0.013,0,13,5,10,0.05,0.021922055,0.065107828,0.182295776,2184,0.159188511,0.130447423
flea,market,fpa,NA,0.032,1.40E-02,11,13,7,0,0.065486032,2.374553946,0.058965841,NA,0.586230224,0.209013881
announce,marriage,unclassified,NA,0.028,0,19,37,10,0.06,0.105056379,0.126127056,0.128165697,3579,0.422620338,0.130746175
wife,marry,unclassified,NA,0.016,3.30E-02,8,9,7,0.74,0.215304999,0.677968923,0.513748242,40,0.768810055,0.742424213
therapy,massage,bpa,NA,0.027,3.30E-02,27,5,6,0.48,0.041505516,21.29341826,0.215366972,1212,0.508513258,0.471854815
fabric,material,synonym,NA,0.162,8.20E-02,15,24,2,0.36,0.126924562,0.666205256,0.31224531,3,0.599073791,0.347574546
integrate,math,supraordinate,NA,0.02,0,17,80,9,0.17,0.066303989,0.568648478,0.151687461,786,0.43839412,0.214987116
unsure,maybe,unclassified,NA,0.032,1.30E-02,23,15,7,0.13,0.07756915,0.19365096,0.148035632,747,0.558322755,0.488707604
pattern,maze,unclassified,NA,0.023,0,23,5,9,0.17,0.048340444,0.546730446,0.16623715,8149,0.449729026,0.30597063
super,me,unclassified,NA,0.014,0,11,104,10,0.24,0,0.195294082,NA,NA,NA,0.297754969
ignore,mean,unclassified,NA,0.028,0,23,119,8,0.32,0.164932183,0.108723954,0.305402825,419,0.494666913,0.715927286
essence,meaning,synonym,NA,0.041,0,20,13,2,0.2,0.132870025,0.213351104,0.216377001,1301,0.490471051,0.564973641
bologna,meat,supraordinate,NA,0.124,0,14,68,2,0.16,0.030407225,0.559331308,0.09904979,3324,0.209579176,0.045038686
excedrin,medicine,supraordinate,NA,0.088,0,10,46,3,NA,0,3.167443746,NA,NA,NA,NA
greet,meet,unclassified,NA,0.159,8.30E-02,13,11,2,0.37,0.157772082,0.261157648,0.13367927,3212,0.549724061,0.389672544
gathering,meeting,synonym,NA,0.028,4.10E-02,16,18,8,0.31,0.151246599,0.241907705,0.249619521,1222,0.733750892,0.49603253
marines,men,perceptual property,NA,0.02,0,18,29,9,0.21,0,0.13554675,NA,NA,NA,0.262608922
careless,messy,unclassified,NA,0.02,0,15,19,9,0.24,0.08703059,2.866884805,0.253318648,215,0.442978078,0.466462162
grate,metal,bpa,NA,0.02,0,17,45,8,0.04,0.051367358,0.516685319,0.111246983,1699,0.270963209,0.211304064
core,middle,unclassified,NA,0.108,0,11,17,3,0.12,0.047773552,0.077881338,0.155953007,2947,0.373241587,0.258403088
yard,mile,category,NA,0.024,9.40E-02,15,7,8,0.33,0.479327807,0.252034624,0.314979163,1216,0.363791968,0.180080986
cream,milk,supraordinate,NA,0.115,2.40E-02,14,42,2,0.52,0.053195724,9.652209308,0.249069097,111,0.419384375,0.705304078
creative,mind,fpa,NA,0.027,0,18,51,8,0.26,0.093079531,0.404860084,0.304601962,382,0.563776515,0.3072823
belong,mine,unclassified,NA,0.083,0,18,27,2,0.18,0.128872042,0.101773918,0.254896052,1497,0.385303311,0.385857485
wage,minimum,bpa,NA,0.057,0.107,10,2,5,0.55,0.108629838,12.83653616,0.524766378,3,0.584615449,0.415500899
asia,minor,fpa,NA,0.033,0,19,8,6,0.35,0.060081697,1.325534059,0.297940263,421,0.4051847,0.145556316
negative,minus,synonym,NA,0.021,4.70E-02,10,8,5,0.37,0.03434516,1.266080186,0.191554664,253,0.208305919,0.470337907
second,minute,category,NA,0.152,0.381,10,8,2,0.33,0.479468679,0.33095781,NA,NA,NA,0.336133876
image,mirror,bpa,NA,0.142,0.224,16,19,2,0.64,0.104308401,0.857653237,0.554789998,3,0.314988609,0.510492827
haze,mist,unclassified,NA,0.094,4.50E-02,13,8,2,0.58,0.210861293,7.911392405,0.331463694,12,0.510713262,0.871694743
apology,mistake,unclassified,NA,0.019,0,14,19,5,0.24,0.055885218,0.94136038,0.091187637,4230,0.536175257,0.670584111
understand,misunderstand,antonym,NA,0.041,Â¥,12,3,5,0.2,0.109758339,0.541430787,0.083483216,NA,0.507368337,0.603266367
match,mix,bpa,NA,0.027,7.60E-02,18,18,9,0.2,0.179122356,0.169494392,0.179912055,5067,0.194668632,0.124775049
compound,mixture,category,NA,0.054,0,22,5,3,0.35,0.173899697,1.112571571,0.423408997,45,0.620974982,0.454208417
crowd,mob,unclassified,NA,0.067,0.362,15,5,2,0.53,0.193514751,1.060897347,0.289724411,999,0.550103817,0.454990532
ancient,modern,antonym,NA,0.02,1.40E-02,12,6,5,0.55,0.271489427,0.611938404,0.576631593,6,0.817186729,0.576161624
jello,mold,fpa,NA,0.026,0.02,11,20,10,0.02,0.027300317,1.493645286,0.02439601,NA,0.195663652,0.259792045
grandparents,mom,unclassified,NA,0.034,0,17,35,8,0.17,0.044449829,0.903068265,0.123904327,4333,0.325110195,0.550574538
occupation,money,unclassified,NA,0.014,0,6,302,5,0.04,0.107009676,0.068170305,0.301024664,1174,0.304166338,0.127465883
friar,monk,script,NA,0.137,1.60E-02,10,5,2,0.29,0.097166047,3.031537485,0.1368376,1610,0.555661357,0.721213766
wrench,monkey,bpa,NA,0.031,0,17,23,7,0.05,0.03314878,14.47613866,0.121300075,375,0.472281815,0.401200225
phantom,monster,unclassified,NA,0.014,0,10,22,10,0.08,0.044377206,1.015998703,0.177519064,294,0.445489037,0.758393408
daily,monthly,antonym,NA,0.034,7.90E-02,18,6,9,0.21,0.056180032,0.925735176,0.267973127,2703,0.52510246,0.446524694
sunset,moon,unclassified,NA,0.028,0,14,37,9,0.25,0.084498938,0.764668515,0.249249965,316,0.446344277,0.530916594
another,more,unclassified,NA,0.096,0,17,26,3,0.64,0.201069087,0.074103466,NA,NA,NA,0.208048975
alarm,morning,unclassified,NA,0.042,0,12,28,8,0.49,0.038956835,0.235903392,0.209563017,167,0.319670803,0.355653752
majority,most,synonym,NA,0.155,3.60E-02,13,11,2,0.34,0.068943391,0.096388571,NA,NA,NA,0.50100652
roach,motel,script,NA,0.049,1.70E-02,17,6,5,0.06,0,9.874489431,0.004602263,NA,0.37541666,0.195465209
brother,mother,category,NA,0.024,0,10,48,4,0.41,0.247209001,0.441962398,0.604746492,5,0.666136967,0.709937509
physics,motion,unclassified,NA,0.021,0,11,13,6,0.36,0.198286895,0.63317988,0.371949474,31,0.264506928,0.389083995
harley,motorcycle,supraordinate,NA,0.385,0.08,4,9,2,0.1,0,3.369642955,0.127918192,576,0.437106084,0.592208481
rocks,mountain,script,NA,0.087,0,20,59,3,0.3,0.205831643,0.3104936,0.343384994,185,0.567887276,0.4123679
heights,mountains,perceptual property,NA,0.088,Â¥,17,4,4,0.17,0,0.404785977,0.15947348,2579,0.592500258,0.45643245
click,mouse,functional property,NA,0.027,0,21,20,9,0.1,0.021709276,4.538919147,0.064249832,6116,0.437858233,0.366423572
spit,mouth,functional property,NA,0.039,1.60E-02,23,47,4,0.37,0.088151463,2.642123444,0.257334318,157,0.564065817,0.744838732
swift,move,unclassified,NA,0.018,0,7,58,5,0.18,0.327664823,0.097883406,0.32444017,213,0.441322887,0.34472218
backward,movement,supraordinate,NA,0.014,0,7,12,7,0.32,0.12123244,0.923862138,0.28537344,141,0.314047365,0.488605732
twister,movie,unclassified,NA,0.162,0,10,103,2,0.03,0.061343356,0.475127209,0.075271019,3686,0.509662937,0.43120352
